DateID,Date,DayofWeek,Month,Quarter,Year,Isweekend
20140421,21-04-2014,0,4,2,2014,FALSE
20140422,22-04-2014,1,4,2,2014,FALSE
20140423,23-04-2014,2,4,2,2014,FALSE
20140424,24-04-2014,3,4,2,2014,FALSE
20140425,25-04-2014,4,4,2,2014,FALSE
20140426,26-04-2014,5,4,2,2014,TRUE
20140427,27-04-2014,6,4,2,2014,TRUE
20140428,28-04-2014,0,4,2,2014,FALSE
20140429,29-04-2014,1,4,2,2014,FALSE
20140430,30-04-2014,2,4,2,2014,FALSE
20140501,01-05-2014,3,5,2,2014,FALSE
20140502,02-05-2014,4,5,2,2014,FALSE
20140503,03-05-2014,5,5,2,2014,TRUE
20140504,04-05-2014,6,5,2,2014,TRUE
20140505,05-05-2014,0,5,2,2014,FALSE
20140506,06-05-2014,1,5,2,2014,FALSE
20140507,07-05-2014,2,5,2,2014,FALSE
20140508,08-05-2014,3,5,2,2014,FALSE
20140509,09-05-2014,4,5,2,2014,FALSE
20140510,10-05-2014,5,5,2,2014,TRUE
20140511,11-05-2014,6,5,2,2014,TRUE
20140512,12-05-2014,0,5,2,2014,FALSE
20140513,13-05-2014,1,5,2,2014,FALSE
20140514,14-05-2014,2,5,2,2014,FALSE
20140515,15-05-2014,3,5,2,2014,FALSE
20140516,16-05-2014,4,5,2,2014,FALSE
20140517,17-05-2014,5,5,2,2014,TRUE
20140518,18-05-2014,6,5,2,2014,TRUE
20140519,19-05-2014,0,5,2,2014,FALSE
20140520,20-05-2014,1,5,2,2014,FALSE
20140521,21-05-2014,2,5,2,2014,FALSE
20140522,22-05-2014,3,5,2,2014,FALSE
20140523,23-05-2014,4,5,2,2014,FALSE
20140524,24-05-2014,5,5,2,2014,TRUE
20140525,25-05-2014,6,5,2,2014,TRUE
20140526,26-05-2014,0,5,2,2014,FALSE
20140527,27-05-2014,1,5,2,2014,FALSE
20140528,28-05-2014,2,5,2,2014,FALSE
20140529,29-05-2014,3,5,2,2014,FALSE
20140530,30-05-2014,4,5,2,2014,FALSE
20140531,31-05-2014,5,5,2,2014,TRUE
20140601,01-06-2014,6,6,2,2014,TRUE
